Folder,Files,LOC,SLOC-P,SLOC-L,MVG,BLOC,C&SLOC,CLOC,CWORD,HCLOC,HCWORD
D:\Arquivos Jane\Dropbox\facom\TCC_MAPE_Android\EShop\app\src\main\java\conn_MasterCardA_MasterCardASensor,5,201,111,81,13,45,7,45,161,0,0
D:\Arquivos Jane\Dropbox\facom\TCC_MAPE_Android\EShop\app\src\main\java\conn_MasterCardA_MasterCardASensor\impl,4,172,100,71,13,35,0,37,106,0,0
D:\Arquivos Jane\Dropbox\facom\TCC_MAPE_Android\EShop\app\src\main\java\conn_MasterCardA_MasterCardASensor\prov,1,29,11,10,0,10,7,8,55,0,0
D:\Arquivos Jane\Dropbox\facom\TCC_MAPE_Android\EShop\app\src\main\java\conn_MasterCardB_CreditCard,5,200,111,81,13,44,7,45,165,0,0
D:\Arquivos Jane\Dropbox\facom\TCC_MAPE_Android\EShop\app\src\main\java\conn_MasterCardB_CreditCard\impl,4,171,100,71,13,34,0,37,110,0,0
D:\Arquivos Jane\Dropbox\facom\TCC_MAPE_Android\EShop\app\src\main\java\conn_MasterCardB_CreditCard\prov,1,29,11,10,0,10,7,8,55,0,0
D:\Arquivos Jane\Dropbox\facom\TCC_MAPE_Android\EShop\app\src\main\java\conn_MasterCardB_MasterCardBSensor,5,199,111,81,13,45,7,43,154,0,0
D:\Arquivos Jane\Dropbox\facom\TCC_MAPE_Android\EShop\app\src\main\java\conn_MasterCardB_MasterCardBSensor\impl,4,170,100,71,13,35,0,35,99,0,0
D:\Arquivos Jane\Dropbox\facom\TCC_MAPE_Android\EShop\app\src\main\java\conn_MasterCardB_MasterCardBSensor\prov,1,29,11,10,0,10,7,8,55,0,0
D:\Arquivos Jane\Dropbox\facom\TCC_MAPE_Android\EShop\app\src\main\java\conn_MoneyPayment_Payment,5,199,111,81,13,43,7,45,161,0,0
D:\Arquivos Jane\Dropbox\facom\TCC_MAPE_Android\EShop\app\src\main\java\conn_MoneyPayment_Payment\impl,4,170,100,71,13,33,0,37,106,0,0
D:\Arquivos Jane\Dropbox\facom\TCC_MAPE_Android\EShop\app\src\main\java\conn_MoneyPayment_Payment\prov,1,29,11,10,0,10,7,8,55,0,0
D:\Arquivos Jane\Dropbox\facom\TCC_MAPE_Android\EShop\app\src\main\java\conn_Payment_Controller,5,225,136,96,18,44,7,45,161,0,0
D:\Arquivos Jane\Dropbox\facom\TCC_MAPE_Android\EShop\app\src\main\java\conn_Payment_Controller\impl,4,196,125,86,18,34,0,37,106,0,0
D:\Arquivos Jane\Dropbox\facom\TCC_MAPE_Android\EShop\app\src\main\java\conn_Payment_Controller\prov,1,29,11,10,0,10,7,8,55,0,0
D:\Arquivos Jane\Dropbox\facom\TCC_MAPE_Android\EShop\app\src\main\java\conn_VisaA_CreditCard,5,199,111,81,13,45,7,43,154,0,0
D:\Arquivos Jane\Dropbox\facom\TCC_MAPE_Android\EShop\app\src\main\java\conn_VisaA_CreditCard\impl,4,170,100,71,13,35,0,35,99,0,0
D:\Arquivos Jane\Dropbox\facom\TCC_MAPE_Android\EShop\app\src\main\java\conn_VisaA_CreditCard\prov,1,29,11,10,0,10,7,8,55,0,0
D:\Arquivos Jane\Dropbox\facom\TCC_MAPE_Android\EShop\app\src\main\java\conn_VisaA_VisaASensor,5,199,111,81,13,43,7,45,161,0,0
D:\Arquivos Jane\Dropbox\facom\TCC_MAPE_Android\EShop\app\src\main\java\conn_VisaA_VisaASensor\impl,4,170,100,71,13,33,0,37,106,0,0
D:\Arquivos Jane\Dropbox\facom\TCC_MAPE_Android\EShop\app\src\main\java\conn_VisaA_VisaASensor\prov,1,29,11,10,0,10,7,8,55,0,0
D:\Arquivos Jane\Dropbox\facom\TCC_MAPE_Android\EShop\app\src\main\java\conn_VisaB_CreditCard,5,200,111,81,13,44,7,45,161,0,0
D:\Arquivos Jane\Dropbox\facom\TCC_MAPE_Android\EShop\app\src\main\java\conn_VisaB_CreditCard\impl,4,171,100,71,13,34,0,37,106,0,0
D:\Arquivos Jane\Dropbox\facom\TCC_MAPE_Android\EShop\app\src\main\java\conn_VisaB_CreditCard\prov,1,29,11,10,0,10,7,8,55,0,0
D:\Arquivos Jane\Dropbox\facom\TCC_MAPE_Android\EShop\app\src\main\java\conn_VisaB_VisaBSensor,5,200,111,81,13,44,7,45,161,0,0
D:\Arquivos Jane\Dropbox\facom\TCC_MAPE_Android\EShop\app\src\main\java\conn_VisaB_VisaBSensor\impl,4,171,100,71,13,34,0,37,106,0,0
D:\Arquivos Jane\Dropbox\facom\TCC_MAPE_Android\EShop\app\src\main\java\conn_VisaB_VisaBSensor\prov,1,29,11,10,0,10,7,8,55,0,0
D:\Arquivos Jane\Dropbox\facom\TCC_MAPE_Android\EShop\app\src\main\java\conn_VisaC_CreditCard,5,200,111,81,13,44,7,45,161,0,0
D:\Arquivos Jane\Dropbox\facom\TCC_MAPE_Android\EShop\app\src\main\java\conn_VisaC_CreditCard\impl,4,171,100,71,13,34,0,37,106,0,0
D:\Arquivos Jane\Dropbox\facom\TCC_MAPE_Android\EShop\app\src\main\java\conn_VisaC_CreditCard\prov,1,29,11,10,0,10,7,8,55,0,0
D:\Arquivos Jane\Dropbox\facom\TCC_MAPE_Android\EShop\app\src\main\java\conn_VisaC_VisaCSensor,5,200,111,81,13,44,7,45,161,0,0
D:\Arquivos Jane\Dropbox\facom\TCC_MAPE_Android\EShop\app\src\main\java\conn_VisaC_VisaCSensor\impl,4,171,100,71,13,34,0,37,106,0,0
D:\Arquivos Jane\Dropbox\facom\TCC_MAPE_Android\EShop\app\src\main\java\conn_VisaC_VisaCSensor\prov,1,29,11,10,0,10,7,8,55,0,0
D:\Arquivos Jane\Dropbox\facom\TCC_MAPE_Android\EShop\app\src\main\java\conn_sensors_MasterCardASensor,5,197,113,81,13,44,7,40,190,0,0
D:\Arquivos Jane\Dropbox\facom\TCC_MAPE_Android\EShop\app\src\main\java\conn_sensors_MasterCardASensor\impl,4,168,102,71,13,34,0,32,135,0,0
D:\Arquivos Jane\Dropbox\facom\TCC_MAPE_Android\EShop\app\src\main\java\conn_sensors_MasterCardASensor\prov,1,29,11,10,0,10,7,8,55,0,0
D:\Arquivos Jane\Dropbox\facom\TCC_MAPE_Android\EShop\app\src\main\java\conn_sensors_MasterCardBSensor,5,197,113,81,13,44,7,40,190,0,0
D:\Arquivos Jane\Dropbox\facom\TCC_MAPE_Android\EShop\app\src\main\java\conn_sensors_MasterCardBSensor\impl,4,168,102,71,13,34,0,32,135,0,0
D:\Arquivos Jane\Dropbox\facom\TCC_MAPE_Android\EShop\app\src\main\java\conn_sensors_MasterCardBSensor\prov,1,29,11,10,0,10,7,8,55,0,0
D:\Arquivos Jane\Dropbox\facom\TCC_MAPE_Android\EShop\app\src\main\java\conn_sensors_VisaASensor,5,197,113,81,13,44,7,40,190,0,0
D:\Arquivos Jane\Dropbox\facom\TCC_MAPE_Android\EShop\app\src\main\java\conn_sensors_VisaASensor\impl,4,168,102,71,13,34,0,32,135,0,0
D:\Arquivos Jane\Dropbox\facom\TCC_MAPE_Android\EShop\app\src\main\java\conn_sensors_VisaASensor\prov,1,29,11,10,0,10,7,8,55,0,0
D:\Arquivos Jane\Dropbox\facom\TCC_MAPE_Android\EShop\app\src\main\java\conn_sensors_VisaBSensor,5,197,113,81,13,44,7,40,190,0,0
D:\Arquivos Jane\Dropbox\facom\TCC_MAPE_Android\EShop\app\src\main\java\conn_sensors_VisaBSensor\impl,4,168,102,71,13,34,0,32,135,0,0
D:\Arquivos Jane\Dropbox\facom\TCC_MAPE_Android\EShop\app\src\main\java\conn_sensors_VisaBSensor\prov,1,29,11,10,0,10,7,8,55,0,0
D:\Arquivos Jane\Dropbox\facom\TCC_MAPE_Android\EShop\app\src\main\java\conn_sensors_VisaCSensor,5,197,113,81,13,44,7,40,190,0,0
D:\Arquivos Jane\Dropbox\facom\TCC_MAPE_Android\EShop\app\src\main\java\conn_sensors_VisaCSensor\impl,4,168,102,71,13,34,0,32,135,0,0
D:\Arquivos Jane\Dropbox\facom\TCC_MAPE_Android\EShop\app\src\main\java\conn_sensors_VisaCSensor\prov,1,29,11,10,0,10,7,8,55,0,0
D:\Arquivos Jane\Dropbox\facom\TCC_MAPE_Android\EShop\app\src\main\java\controller,11,450,234,180,29,90,7,126,527,0,0
D:\Arquivos Jane\Dropbox\facom\TCC_MAPE_Android\EShop\app\src\main\java\controller\core,2,111,65,48,10,18,0,28,86,0,0
D:\Arquivos Jane\Dropbox\facom\TCC_MAPE_Android\EShop\app\src\main\java\controller\impl,4,211,128,96,19,45,0,38,113,0,0
D:\Arquivos Jane\Dropbox\facom\TCC_MAPE_Android\EShop\app\src\main\java\controller\prov,2,59,23,21,0,14,7,22,125,0,0
D:\Arquivos Jane\Dropbox\facom\TCC_MAPE_Android\EShop\app\src\main\java\controller\req,3,69,18,15,0,13,0,38,203,0,0
D:\Arquivos Jane\Dropbox\facom\TCC_MAPE_Android\EShop\app\src\main\java\cosmapek,301,13685,8655,6404,1347,2893,284,2137,10066,460,3345
D:\Arquivos Jane\Dropbox\facom\TCC_MAPE_Android\EShop\app\src\main\java\cosmapek\analyzer,10,328,209,158,28,86,9,33,121,0,0
D:\Arquivos Jane\Dropbox\facom\TCC_MAPE_Android\EShop\app\src\main\java\cosmapek\analyzer\core,3,102,72,54,14,22,2,8,29,0,0
D:\Arquivos Jane\Dropbox\facom\TCC_MAPE_Android\EShop\app\src\main\java\cosmapek\analyzer\impl,4,166,111,81,14,41,0,14,29,0,0
D:\Arquivos Jane\Dropbox\facom\TCC_MAPE_Android\EShop\app\src\main\java\cosmapek\analyzer\prov,2,47,19,17,0,17,7,11,63,0,0
D:\Arquivos Jane\Dropbox\facom\TCC_MAPE_Android\EShop\app\src\main\java\cosmapek\analyzer\req,1,13,7,6,0,6,0,0,0,0,0
D:\Arquivos Jane\Dropbox\facom\TCC_MAPE_Android\EShop\app\src\main\java\cosmapek\components,10,425,274,207,38,102,9,49,169,0,0
D:\Arquivos Jane\Dropbox\facom\TCC_MAPE_Android\EShop\app\src\main\java\cosmapek\components\core,4,204,136,102,24,39,2,29,89,0,0
D:\Arquivos Jane\Dropbox\facom\TCC_MAPE_Android\EShop\app\src\main\java\cosmapek\components\impl,4,172,115,84,14,42,0,15,31,0,0
D:\Arquivos Jane\Dropbox\facom\TCC_MAPE_Android\EShop\app\src\main\java\cosmapek\components\prov,2,49,23,21,0,21,7,5,49,0,0
D:\Arquivos Jane\Dropbox\facom\TCC_MAPE_Android\EShop\app\src\main\java\cosmapek\conn_analyzer_controller,5,180,111,80,12,48,7,21,81,0,0
D:\Arquivos Jane\Dropbox\facom\TCC_MAPE_Android\EShop\app\src\main\java\cosmapek\conn_analyzer_controller\impl,4,154,100,70,12,38,0,16,32,0,0
D:\Arquivos Jane\Dropbox\facom\TCC_MAPE_Android\EShop\app\src\main\java\cosmapek\conn_analyzer_controller\prov,1,26,11,10,0,10,7,5,49,0,0
D:\Arquivos Jane\Dropbox\facom\TCC_MAPE_Android\EShop\app\src\main\java\cosmapek\conn_analyzer_planner,5,168,105,78,12,49,7,14,68,0,0
D:\Arquivos Jane\Dropbox\facom\TCC_MAPE_Android\EShop\app\src\main\java\cosmapek\conn_analyzer_planner\impl,4,142,94,68,12,39,0,9,19,0,0
