File,LOC,SLOC-P,SLOC-L,MVG,BLOC,C&SLOC,CLOC,CWORD,HCLOC,HCWORD
D:\Arquivos Jane\Dropbox\facom\TCC_MAPE_Android\EShop\app\src\main\java\conn_Android_Controller\impl\Manager.java,92,63,46,9,21,0,8,18,0,0
D:\Arquivos Jane\Dropbox\facom\TCC_MAPE_Android\EShop\app\src\main\java\conn_Android_Controller\prov\IManager.java,29,11,10,0,10,7,8,55,0,0
D:\Arquivos Jane\Dropbox\facom\TCC_MAPE_Android\EShop\app\src\main\java\conn_BankInvoice_Payment\impl\Adapter.java,39,14,9,1,6,0,19,58,0,0
D:\Arquivos Jane\Dropbox\facom\TCC_MAPE_Android\EShop\app\src\main\java\conn_BankInvoice_Payment\impl\ComponentFactory.java,21,12,8,2,4,0,5,15,0,0
D:\Arquivos Jane\Dropbox\facom\TCC_MAPE_Android\EShop\app\src\main\java\conn_BankInvoice_Payment\impl\IInterfaceTags.java,13,5,4,0,3,0,5,15,0,0
D:\Arquivos Jane\Dropbox\facom\TCC_MAPE_Android\EShop\app\src\main\java\conn_BankInvoice_Payment\impl\Manager.java,93,64,47,9,21,0,8,18,0,0
D:\Arquivos Jane\Dropbox\facom\TCC_MAPE_Android\EShop\app\src\main\java\conn_BankInvoice_Payment\prov\IManager.java,29,11,10,0,10,7,8,55,0,0
D:\Arquivos Jane\Dropbox\facom\TCC_MAPE_Android\EShop\app\src\main\java\conn_BankTransfer_Payment\impl\Adapter.java,40,14,9,1,7,0,19,58,0,0
D:\Arquivos Jane\Dropbox\facom\TCC_MAPE_Android\EShop\app\src\main\java\conn_BankTransfer_Payment\impl\ComponentFactory.java,21,12,8,2,4,0,5,15,0,0
D:\Arquivos Jane\Dropbox\facom\TCC_MAPE_Android\EShop\app\src\main\java\conn_BankTransfer_Payment\impl\IInterfaceTags.java,13,5,4,0,3,0,5,15,0,0
D:\Arquivos Jane\Dropbox\facom\TCC_MAPE_Android\EShop\app\src\main\java\conn_BankTransfer_Payment\impl\Manager.java,93,64,47,9,21,0,8,18,0,0
D:\Arquivos Jane\Dropbox\facom\TCC_MAPE_Android\EShop\app\src\main\java\conn_BankTransfer_Payment\prov\IManager.java,29,11,10,0,10,7,8,55,0,0
D:\Arquivos Jane\Dropbox\facom\TCC_MAPE_Android\EShop\app\src\main\java\conn_Catalogue_Controller\impl\Adapter.java,48,15,10,1,8,0,25,72,0,0
D:\Arquivos Jane\Dropbox\facom\TCC_MAPE_Android\EShop\app\src\main\java\conn_Catalogue_Controller\impl\ComponentFactory.java,21,12,8,2,4,0,5,15,0,0
D:\Arquivos Jane\Dropbox\facom\TCC_MAPE_Android\EShop\app\src\main\java\conn_Catalogue_Controller\impl\IInterfaceTags.java,13,5,4,0,3,0,5,15,0,0
